conversation_id,turn,role,intent,message
1cdebc68-7799-496d-a3d2-06e029e36af0,4.0,user,communication,public speaking tips
1cdebc68-7799-496d-a3d2-06e029e36af0,4.5,bot,communication,"Sure, let me help you with that!"
1cdebc68-7799-496d-a3d2-06e029e36af0,5.0,user,android,best android apps?
1cdebc68-7799-496d-a3d2-06e029e36af0,5.5,bot,android,"Sure, let me help you with that!"
1cdebc68-7799-496d-a3d2-06e029e36af0,6.0,user,health,how to stay fit?
1cdebc68-7799-496d-a3d2-06e029e36af0,6.5,bot,health,"Sure, let me help you with that!"
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,1.0,user,life,what is purpose of life?
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,1.5,bot,life,"Sure, let me help you with that!"
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,2.0,user,business,startup ideas
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,2.5,bot,business,"Sure, let me help you with that!"
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,3.0,user,networking,what is ip address?
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,3.5,bot,networking,"Sure, let me help you with that!"
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,4.0,user,technology,what is AI?
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,4.5,bot,technology,"Sure, let me help you with that!"
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,5.0,user,android,best android apps?
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,5.5,bot,android,"Sure, let me help you with that!"
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,6.0,user,dl,what is cnn?
9e5a9070-c50b-4810-8a7b-1f3dad84dbae,6.5,bot,dl,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,1.0,user,habits,how to break bad habits?
734d4a43-0367-4e88-a903-bbe529b97b06,1.5,bot,habits,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,2.0,user,coding_errors,why code not running?
734d4a43-0367-4e88-a903-bbe529b97b06,2.5,bot,coding_errors,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,3.0,user,interview,interview tips?
734d4a43-0367-4e88-a903-bbe529b97b06,3.5,bot,interview,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,4.0,user,study,focus tips
734d4a43-0367-4e88-a903-bbe529b97b06,4.5,bot,study,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,5.0,user,motivation_strong,push me hard
734d4a43-0367-4e88-a903-bbe529b97b06,5.5,bot,motivation_strong,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,6.0,user,android,best android apps?
734d4a43-0367-4e88-a903-bbe529b97b06,6.5,bot,android,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,7.0,user,life,life advice
734d4a43-0367-4e88-a903-bbe529b97b06,7.5,bot,life,"Sure, let me help you with that!"
734d4a43-0367-4e88-a903-bbe529b97b06,8.0,user,science,what is energy?
734d4a43-0367-4e88-a903-bbe529b97b06,8.5,bot,science,"Sure, let me help you with that!"
6967c8f5-d00e-4c19-83bd-b0af469381f6,1.0,user,music,best singers
6967c8f5-d00e-4c19-83bd-b0af469381f6,1.5,bot,music,"Sure, let me help you with that!"
6967c8f5-d00e-4c19-83bd-b0af469381f6,2.0,user,salary,which job high paying?
6967c8f5-d00e-4c19-83bd-b0af469381f6,2.5,bot,salary,"Sure, let me help you with that!"
6967c8f5-d00e-4c19-83bd-b0af469381f6,3.0,user,entertainment,suggest movies
6967c8f5-d00e-4c19-83bd-b0af469381f6,3.5,bot,entertainment,"Sure, let me help you with that!"
6967c8f5-d00e-4c19-83bd-b0af469381f6,4.0,user,entertainment,top songs today
6967c8f5-d00e-4c19-83bd-b0af469381f6,4.5,bot,entertainment,"Sure, let me help you with that!"
6967c8f5-d00e-4c19-83bd-b0af469381f6,5.0,user,books,book summary
6967c8f5-d00e-4c19-83bd-b0af469381f6,5.5,bot,books,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,1.0,user,fitness,workout routine?
28446c14-0c62-4708-839e-12dd179bdc50,1.5,bot,fitness,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,2.0,user,motivation_daily,give me daily motivation
28446c14-0c62-4708-839e-12dd179bdc50,2.5,bot,motivation_daily,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,3.0,user,communication,public speaking tips
28446c14-0c62-4708-839e-12dd179bdc50,3.5,bot,communication,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,4.0,user,motivation,motivate me
28446c14-0c62-4708-839e-12dd179bdc50,4.5,bot,motivation,Believe in yourself!
28446c14-0c62-4708-839e-12dd179bdc50,5.0,user,health,tips for good health
28446c14-0c62-4708-839e-12dd179bdc50,5.5,bot,health,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,6.0,user,education,what is python?
28446c14-0c62-4708-839e-12dd179bdc50,6.5,bot,education,Let's learn something new!
28446c14-0c62-4708-839e-12dd179bdc50,7.0,user,interview,hr questions?
28446c14-0c62-4708-839e-12dd179bdc50,7.5,bot,interview,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,8.0,user,entertainment,suggest movies
28446c14-0c62-4708-839e-12dd179bdc50,8.5,bot,entertainment,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,9.0,user,psychology,how to reduce stress?
28446c14-0c62-4708-839e-12dd179bdc50,9.5,bot,psychology,"Sure, let me help you with that!"
28446c14-0c62-4708-839e-12dd179bdc50,10.0,user,security,how to stay safe online?
28446c14-0c62-4708-839e-12dd179bdc50,10.5,bot,security,"Sure, let me help you with that!"
c4f4fc81-69dc-48c6-9313-ab23b0e31927,1.0,user,communication,how to speak confidently?
c4f4fc81-69dc-48c6-9313-ab23b0e31927,1.5,bot,communication,"Sure, let me help you with that!"
c4f4fc81-69dc-48c6-9313-ab23b0e31927,2.0,user,quotes,life quote
c4f4fc81-69dc-48c6-9313-ab23b0e31927,2.5,bot,quotes,"Sure, let me help you with that!"
c4f4fc81-69dc-48c6-9313-ab23b0e31927,3.0,user,news,latest news please
c4f4fc81-69dc-48c6-9313-ab23b0e31927,3.5,bot,news,"Sure, let me help you with that!"
c4f4fc81-69dc-48c6-9313-ab23b0e31927,4.0,user,travel,best places to visit?
c4f4fc81-69dc-48c6-9313-ab23b0e31927,4.5,bot,travel,"Sure, let me help you with that!"
60e49833-1517-4fc7-be66-7efacbdef165,1.0,user,cloud,what is cloud computing?
60e49833-1517-4fc7-be66-7efacbdef165,1.5,bot,cloud,"Sure, let me help you with that!"
60e49833-1517-4fc7-be66-7efacbdef165,2.0,user,music,suggest songs
60e49833-1517-4fc7-be66-7efacbdef165,2.5,bot,music,"Sure, let me help you with that!"
60e49833-1517-4fc7-be66-7efacbdef165,3.0,user,coding,how to debug?
60e49833-1517-4fc7-be66-7efacbdef165,3.5,bot,coding,"Sure, let me help you with that!"
60e49833-1517-4fc7-be66-7efacbdef165,4.0,user,gaming,latest gaming news
60e49833-1517-4fc7-be66-7efacbdef165,4.5,bot,gaming,"Sure, let me help you with that!"
60e49833-1517-4fc7-be66-7efacbdef165,5.0,user,motivation,give me inspiration
60e49833-1517-4fc7-be66-7efacbdef165,5.5,bot,motivation,Believe in yourself!
60e49833-1517-4fc7-be66-7efacbdef165,6.0,user,books,best books to read?
60e49833-1517-4fc7-be66-7efacbdef165,6.5,bot,books,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,1.0,user,marketing,digital marketing tips?
6eddcc8e-096a-4e94-b637-79c32e73e812,1.5,bot,marketing,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,2.0,user,psychology,human behavior tips?
6eddcc8e-096a-4e94-b637-79c32e73e812,2.5,bot,psychology,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,3.0,user,gaming,latest gaming news
6eddcc8e-096a-4e94-b637-79c32e73e812,3.5,bot,gaming,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,4.0,user,technology,what is AI?
6eddcc8e-096a-4e94-b637-79c32e73e812,4.5,bot,technology,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,5.0,user,motivation_daily,give me daily motivation
6eddcc8e-096a-4e94-b637-79c32e73e812,5.5,bot,motivation_daily,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,6.0,user,health,how to stay fit?
6eddcc8e-096a-4e94-b637-79c32e73e812,6.5,bot,health,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,7.0,user,ios,iphone tips?
6eddcc8e-096a-4e94-b637-79c32e73e812,7.5,bot,ios,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,8.0,user,gaming,best games
6eddcc8e-096a-4e94-b637-79c32e73e812,8.5,bot,gaming,"Sure, let me help you with that!"
6eddcc8e-096a-4e94-b637-79c32e73e812,9.0,user,psychology,human behavior tips?
6eddcc8e-096a-4e94-b637-79c32e73e812,9.5,bot,psychology,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,1.0,user,finance,stock market today?
91e712a3-ae16-4312-89f0-0e34820073d8,1.5,bot,finance,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,2.0,user,android,optimize battery?
91e712a3-ae16-4312-89f0-0e34820073d8,2.5,bot,android,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,3.0,user,shopping,which phone to buy?
91e712a3-ae16-4312-89f0-0e34820073d8,3.5,bot,shopping,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,4.0,user,science,explain gravity
91e712a3-ae16-4312-89f0-0e34820073d8,4.5,bot,science,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,5.0,user,quotes,life quote
91e712a3-ae16-4312-89f0-0e34820073d8,5.5,bot,quotes,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,6.0,user,math,solve equation
91e712a3-ae16-4312-89f0-0e34820073d8,6.5,bot,math,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,7.0,user,motivation_daily,give me daily motivation
91e712a3-ae16-4312-89f0-0e34820073d8,7.5,bot,motivation_daily,"Sure, let me help you with that!"
91e712a3-ae16-4312-89f0-0e34820073d8,8.0,user,interview,interview tips?
91e712a3-ae16-4312-89f0-0e34820073d8,8.5,bot,interview,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,1.0,user,ml,difference between ml and dl?
a566dc3e-4d04-423a-a158-a6ef6b409cf6,1.5,bot,ml,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,2.0,user,android,best android apps?
a566dc3e-4d04-423a-a158-a6ef6b409cf6,2.5,bot,android,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,3.0,user,security,how to stay safe online?
a566dc3e-4d04-423a-a158-a6ef6b409cf6,3.5,bot,security,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,4.0,user,coding_errors,fix this error
a566dc3e-4d04-423a-a158-a6ef6b409cf6,4.5,bot,coding_errors,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,5.0,user,quotes,inspirational quote please
a566dc3e-4d04-423a-a158-a6ef6b409cf6,5.5,bot,quotes,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,6.0,user,resume,resume example
a566dc3e-4d04-423a-a158-a6ef6b409cf6,6.5,bot,resume,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,7.0,user,math,solve equation
a566dc3e-4d04-423a-a158-a6ef6b409cf6,7.5,bot,math,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,8.0,user,finance,stock market today?
a566dc3e-4d04-423a-a158-a6ef6b409cf6,8.5,bot,finance,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,9.0,user,resume,resume example
a566dc3e-4d04-423a-a158-a6ef6b409cf6,9.5,bot,resume,"Sure, let me help you with that!"
a566dc3e-4d04-423a-a158-a6ef6b409cf6,10.0,user,fitness,exercise tips
a566dc3e-4d04-423a-a158-a6ef6b409cf6,10.5,bot,fitness,"Sure, let me help you with that!"
73de582e-1c86-47bd-9a48-8078724b0f55,1.0,user,business,how to start business?
73de582e-1c86-47bd-9a48-8078724b0f55,1.5,bot,business,"Sure, let me help you with that!"
73de582e-1c86-47bd-9a48-8078724b0f55,2.0,user,sports,tell me cricket news
73de582e-1c86-47bd-9a48-8078724b0f55,2.5,bot,sports,"Sure, let me help you with that!"
73de582e-1c86-47bd-9a48-8078724b0f55,3.0,user,communication,public speaking tips
73de582e-1c86-47bd-9a48-8078724b0f55,3.5,bot,communication,"Sure, let me help you with that!"
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,1.0,user,farewell,have a nice day
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,1.5,bot,farewell,Goodbye! Have a great day!
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,2.0,user,greeting,how are you
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,2.5,bot,greeting,Hello! How can I assist you?
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,3.0,user,coding,what is recursion?
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,3.5,bot,coding,"Sure, let me help you with that!"
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,4.0,user,networking,what is ip address?
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,4.5,bot,networking,"Sure, let me help you with that!"
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,5.0,user,music,suggest songs
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,5.5,bot,music,"Sure, let me help you with that!"
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,6.0,user,emotions,how to control anger?
e42787c8-9120-46ef-8dfa-b5aa9bafcd2b,6.5,bot,emotions,"Sure, let me help you with that!"
d7267da7-460f-4275-aea4-f31627d9982e,1.0,user,study,best way to learn?
d7267da7-460f-4275-aea4-f31627d9982e,1.5,bot,study,"Sure, let me help you with that!"
d7267da7-460f-4275-aea4-f31627d9982e,2.0,user,motivation_strong,i need strong motivation
d7267da7-460f-4275-aea4-f31627d9982e,2.5,bot,motivation_strong,"Sure, let me help you with that!"
d7267da7-460f-4275-aea4-f31627d9982e,3.0,user,finance,stock market today?
d7267da7-460f-4275-aea4-f31627d9982e,3.5,bot,finance,"Sure, let me help you with that!"
d7267da7-460f-4275-aea4-f31627d9982e,4.0,user,education,explain machine learning
d7267da7-460f-4275-aea4-f31627d9982e,4.5,bot,education,Let's learn something new!
64140fc3-1cdf-4b55-9986-da8c2a794ea7,1.0,user,emotions,how to control anger?
64140fc3-1cdf-4b55-9986-da8c2a794ea7,1.5,bot,emotions,"Sure, let me help you with that!"
64140fc3-1cdf-4b55-9986-da8c2a794ea7,2.0,user,communication,public speaking tips
64140fc3-1cdf-4b55-9986-da8c2a794ea7,2.5,bot,communication,"Sure, let me help you with that!"
64140fc3-1cdf-4b55-9986-da8c2a794ea7,3.0,user,productivity,time management tips
64140fc3-1cdf-4b55-9986-da8c2a794ea7,3.5,bot,productivity,"Sure, let me help you with that!"
64140fc3-1cdf-4b55-9986-da8c2a794ea7,4.0,user,business,how to start business?
64140fc3-1cdf-4b55-9986-da8c2a794ea7,4.5,bot,business,"Sure, let me help you with that!"
64140fc3-1cdf-4b55-9986-da8c2a794ea7,5.0,user,interview,hr questions?
64140fc3-1cdf-4b55-9986-da8c2a794ea7,5.5,bot,interview,"Sure, let me help you with that!"
64140fc3-1cdf-4b55-9986-da8c2a794ea7,6.0,user,gaming,latest gaming news
64140fc3-1cdf-4b55-9986-da8c2a794ea7,6.5,bot,gaming,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,1.0,user,cloud,what is cloud computing?
fc7a6224-1f0a-4989-8e88-e457a4b584a2,1.5,bot,cloud,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,2.0,user,coding_errors,fix this error
fc7a6224-1f0a-4989-8e88-e457a4b584a2,2.5,bot,coding_errors,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,3.0,user,science,what is energy?
fc7a6224-1f0a-4989-8e88-e457a4b584a2,3.5,bot,science,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,4.0,user,cloud,aws vs azure?
fc7a6224-1f0a-4989-8e88-e457a4b584a2,4.5,bot,cloud,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,5.0,user,news,breaking headlines
fc7a6224-1f0a-4989-8e88-e457a4b584a2,5.5,bot,news,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,6.0,user,projects,final year project ideas
fc7a6224-1f0a-4989-8e88-e457a4b584a2,6.5,bot,projects,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,7.0,user,college,tips for engineering students
fc7a6224-1f0a-4989-8e88-e457a4b584a2,7.5,bot,college,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,8.0,user,emotions,i feel sad
fc7a6224-1f0a-4989-8e88-e457a4b584a2,8.5,bot,emotions,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,9.0,user,math,solve equation
fc7a6224-1f0a-4989-8e88-e457a4b584a2,9.5,bot,math,"Sure, let me help you with that!"
fc7a6224-1f0a-4989-8e88-e457a4b584a2,10.0,user,cloud,aws vs azure?
fc7a6224-1f0a-4989-8e88-e457a4b584a2,10.5,bot,cloud,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,1.0,user,news,latest news please
97426122-78b0-4782-b550-b7f6f4bf262b,1.5,bot,news,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,2.0,user,shopping,which phone to buy?
97426122-78b0-4782-b550-b7f6f4bf262b,2.5,bot,shopping,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,3.0,user,psychology,human behavior tips?
97426122-78b0-4782-b550-b7f6f4bf262b,3.5,bot,psychology,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,4.0,user,geography,largest country?
97426122-78b0-4782-b550-b7f6f4bf262b,4.5,bot,geography,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,5.0,user,motivation_strong,i need strong motivation
97426122-78b0-4782-b550-b7f6f4bf262b,5.5,bot,motivation_strong,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,6.0,user,shopping,which phone to buy?
97426122-78b0-4782-b550-b7f6f4bf262b,6.5,bot,shopping,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,7.0,user,datascience,how to learn ds?
97426122-78b0-4782-b550-b7f6f4bf262b,7.5,bot,datascience,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,8.0,user,android,best android apps?
97426122-78b0-4782-b550-b7f6f4bf262b,8.5,bot,android,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,9.0,user,music,suggest songs
97426122-78b0-4782-b550-b7f6f4bf262b,9.5,bot,music,"Sure, let me help you with that!"
97426122-78b0-4782-b550-b7f6f4bf262b,10.0,user,emotions,how to control anger?
97426122-78b0-4782-b550-b7f6f4bf262b,10.5,bot,emotions,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,1.0,user,math,what is calculus?
facda173-4d10-49b0-82de-f88086da855d,1.5,bot,math,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,2.0,user,cloud,aws vs azure?
facda173-4d10-49b0-82de-f88086da855d,2.5,bot,cloud,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,3.0,user,study,best way to learn?
facda173-4d10-49b0-82de-f88086da855d,3.5,bot,study,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,4.0,user,android,best android apps?
facda173-4d10-49b0-82de-f88086da855d,4.5,bot,android,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,5.0,user,relationship,friendship tips
facda173-4d10-49b0-82de-f88086da855d,5.5,bot,relationship,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,6.0,user,datascience,what is dataset?
facda173-4d10-49b0-82de-f88086da855d,6.5,bot,datascience,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,7.0,user,career,resume tips
facda173-4d10-49b0-82de-f88086da855d,7.5,bot,career,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,8.0,user,dl,how rnn works?
facda173-4d10-49b0-82de-f88086da855d,8.5,bot,dl,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,9.0,user,marketing,digital marketing tips?
facda173-4d10-49b0-82de-f88086da855d,9.5,bot,marketing,"Sure, let me help you with that!"
facda173-4d10-49b0-82de-f88086da855d,10.0,user,education,what is python?
facda173-4d10-49b0-82de-f88086da855d,10.5,bot,education,Let's learn something new!
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,1.0,user,quotes,inspirational quote please
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,1.5,bot,quotes,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,2.0,user,relationship,how to handle breakup?
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,2.5,bot,relationship,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,3.0,user,entertainment,top songs today
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,3.5,bot,entertainment,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,4.0,user,quotes,inspirational quote please
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,4.5,bot,quotes,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,5.0,user,books,book summary
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,5.5,bot,books,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,6.0,user,resume,how to write resume?
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,6.5,bot,resume,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,7.0,user,marketing,digital marketing tips?
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,7.5,bot,marketing,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,8.0,user,career,how to choose career?
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,8.5,bot,career,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,9.0,user,fitness,workout routine?
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,9.5,bot,fitness,"Sure, let me help you with that!"
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,10.0,user,career,how to choose career?
9cb8bb75-5999-4d2f-aedf-969bb82cffd3,10.5,bot,career,"Sure, let me help you with that!"
9fa5a50f-4cf4-4f9a-a678-79013249514b,1.0,user,life,what is purpose of life?
9fa5a50f-4cf4-4f9a-a678-79013249514b,1.5,bot,life,"Sure, let me help you with that!"
9fa5a50f-4cf4-4f9a-a678-79013249514b,2.0,user,weather,weather forecast please
9fa5a50f-4cf4-4f9a-a678-79013249514b,2.5,bot,weather,The weather looks nice today!
